method,"k = 20, j = 4 bias","k = 20, j = 8 bias","k = 50, j = 4 bias","k = 50, j = 8 bias"
1,0.26,-0.04,0.22,0.25
2,0.28,-0.01,0.19,0.28
3,0.26,0.08,0.15,0.21
4,0.14,0.08,0.28,0.24
5,0.15,0.08,0.22,0.28
6,0.39,0.25,0.28,0.44
7,0.35,0.21,0.3,0.3
8,0.27,0.21,0.3,0.27
9,0.29,0.02,0.24,0.27
10,0.16,0.17,0.22,0.24
11,0.27,0.19,0.2,0.29
12,0.4,0.22,0.28,0.42
