method,"k = 20, j = 4 bias","k = 20, j = 8 bias","k = 50, j = 4 bias","k = 50, j = 8 bias"
1,0.27,-0.04,0.2,0.25
2,0.28,-0.02,0.17,0.14
3,0.23,0.07,0.07,0.25
4,0.14,0.1,0.22,0.18
5,0.15,0.1,0.19,0.22
6,0.36,0.25,0.26,0.42
7,0.33,0.21,0.24,0.29
8,0.25,0.21,0.24,0.26
9,0.23,0,0.21,0.29
10,0.15,0.18,0.15,0.29
11,0.25,0.19,0.16,0.29
12,0.38,0.22,0.26,0.41
