method,"k = 20, j = 4 bias","k = 20, j = 8 bias","k = 50, j = 4 bias","k = 50, j = 8 bias"
1,0.4,-0.04,0.21,0.29
2,0.3,-0.02,0.18,0.22
3,0.22,-0.09,0.12,0.25
4,0.12,0.01,0.2,0.24
5,0.13,0.03,0.21,0.25
6,0.43,0.26,0.27,0.44
7,0.28,0.15,0.26,0.32
8,0.29,0.13,0.27,0.27
9,0.28,0.03,0.27,0.26
10,0.17,0.2,0.22,0.26
11,0.34,0.17,0.21,0.27
12,0.44,0.23,0.27,0.43
